MUNICIPALITY,REGION,TENDER,YEAR,TYPE
MUN_58,NOROESTE,BID_42951,2018,ASSETS
MUN_75,SERTAO,BID_32183,2017,ASSETS
MUN_87,NORTE,BID_89484,2018,ASSETS
MUN_33,SUL,BID_51285,2019,ASSETS
MUN_57,METROPOLITANA,BID_83704,2018,ASSETS
MUN_99,METROPOLITANA,BID_104553,2019,ASSETS
MUN_17,NORTE,BID_39200,2018,ASSETS
MUN_4,NOROESTE,BID_51599,2019,ASSETS
MUN_46,NORTE,BID_41756,2018,ASSETS
MUN_17,NORTE,BID_39163,2018,ASSETS
MUN_95,CENTRO SUL,BID_45574,2018,ASSETS
MUN_49,SUL,BID_52119,2019,ASSETS
MUN_52,SERTAO,BID_52372,2019,ASSETS
MUN_59,NORTE,BID_43001,2018,ASSETS
MUN_59,NORTE,BID_107628,2018,ASSETS
MUN_52,SERTAO,BID_102976,2019,ASSETS
MUN_2,SUL,BID_27404,2017,ASSETS
MUN_117,SUL,BID_102174,2017,ASSETS
MUN_120,NORTE,BID_55534,2017,ASSETS
MUN_94,SUL,BID_54989,2019,ASSETS
MUN_13,METROPOLITANA,BID_47535,2019,ASSETS
MUN_182,SERTAO,BID_15380,2016,ASSETS
MUN_148,NORTE,BID_48534,2019,ASSETS
MUN_148,NORTE,BID_24495,2017,ASSETS
MUN_34,NORTE,BID_28487,2017,ASSETS
MUN_146,SERTAO,BID_37483,2018,ASSETS
MUN_51,NOROESTE,BID_58230,2016,ASSETS
MUN_178,CENTRO SUL,BID_26766,2017,ASSETS
MUN_23,SUL,BID_40325,2018,ASSETS
MUN_44,CENTRO SUL,BID_41603,2018,ASSETS
MUN_57,METROPOLITANA,BID_75392,2018,ASSETS
MUN_57,METROPOLITANA,BID_66793,2018,ASSETS
MUN_128,NORTE,BID_75289,2017,ASSETS
MUN_27,NORTE,BID_73790,2018,ASSETS
MUN_107,SERTAO,BID_100727,2016,ASSETS
MUN_157,NORTE,BID_104799,2019,ASSETS
MUN_4,NOROESTE,BID_28788,2017,ASSETS
MUN_57,METROPOLITANA,BID_99890,2018,ASSETS
MUN_43,METROPOLITANA,BID_29086,2017,ASSETS
MUN_4,NOROESTE,BID_56285,2019,ASSETS
MUN_113,JAGUARIBE,BID_101951,2017,ASSETS
MUN_55,SUL,BID_30257,2017,ASSETS
MUN_55,SUL,BID_103982,2017,ASSETS
MUN_14,JAGUARIBE,BID_37033,2018,ASSETS
MUN_124,NORTE,BID_35938,2018,ASSETS
MUN_70,NOROESTE,BID_104504,2016,ASSETS
MUN_96,CENTRO SUL,BID_109811,2018,ASSETS
MUN_64,METROPOLITANA,BID_53251,2019,ASSETS
MUN_171,NORTE,BID_106866,2019,ASSETS
MUN_176,NOROESTE,BID_102058,2018,ASSETS
MUN_162,NOROESTE,BID_14189,2016,ASSETS
MUN_4,NOROESTE,BID_97557,2018,ASSETS
MUN_54,METROPOLITANA,BID_30161,2017,ASSETS
MUN_57,METROPOLITANA,BID_107171,2018,ASSETS
MUN_175,NORTE,BID_97641,2018,ASSETS
MUN_140,SUL,BID_37176,2018,ASSETS
MUN_37,NOROESTE,BID_41137,2018,ASSETS
MUN_122,METROPOLITANA,BID_104949,2018,ASSETS
MUN_51,NOROESTE,BID_30017,2017,ASSETS
MUN_127,NORTE,BID_36112,2018,ASSETS
MUN_24,NORTE,BID_58862,2017,ASSETS
MUN_167,SERTAO,BID_25805,2017,ASSETS
MUN_72,JAGUARIBE,BID_31804,2017,ASSETS
MUN_40,NOROESTE,BID_28902,2017,ASSETS
MUN_79,NOROESTE,BID_54045,2019,ASSETS
MUN_122,METROPOLITANA,BID_47207,2019,ASSETS
MUN_128,NORTE,BID_47429,2019,ASSETS
MUN_130,SERTAO,BID_66517,2016,ASSETS
MUN_100,METROPOLITANA,BID_11081,2016,ASSETS
MUN_146,SERTAO,BID_13163,2016,ASSETS
MUN_91,JAGUARIBE,BID_33571,2017,ASSETS
MUN_64,METROPOLITANA,BID_18532,2016,ASSETS
MUN_90,JAGUARIBE,BID_20114,2016,ASSETS
MUN_175,NORTE,BID_26633,2017,ASSETS
MUN_123,METROPOLITANA,BID_35908,2018,ASSETS
MUN_170,NORTE,BID_26112,2017,ASSETS
MUN_90,JAGUARIBE,BID_20141,2016,ASSETS
MUN_84,NORTE,BID_54427,2019,ASSETS
MUN_27,NORTE,BID_103657,2017,ASSETS
MUN_144,SERTAO,BID_107905,2018,ASSETS
MUN_57,METROPOLITANA,BID_104789,2019,ASSETS
MUN_111,SERTAO,BID_98430,2017,ASSETS
MUN_152,SUL,BID_102093,2017,ASSETS
MUN_100,METROPOLITANA,BID_79578,2019,ASSETS
MUN_17,NORTE,BID_39199,2018,ASSETS
MUN_68,METROPOLITANA,BID_43557,2018,ASSETS
MUN_178,CENTRO SUL,BID_56060,2018,ASSETS
MUN_76,SERTAO,BID_32255,2017,ASSETS
MUN_37,NOROESTE,BID_109238,2017,ASSETS
MUN_83,NORTE,BID_44638,2018,ASSETS
MUN_120,NORTE,BID_35695,2018,ASSETS
MUN_173,CENTRO SUL,BID_26447,2017,ASSETS
MUN_25,SUL,BID_50880,2019,ASSETS
MUN_146,SERTAO,BID_24384,2017,ASSETS
MUN_146,SERTAO,BID_37484,2018,ASSETS
MUN_120,NORTE,BID_112802,2019,ASSETS
MUN_29,NOROESTE,BID_51049,2019,ASSETS
MUN_138,NOROESTE,BID_23715,2017,ASSETS
MUN_78,NOROESTE,BID_54007,2019,ASSETS
MUN_112,SERTAO,BID_35143,2018,ASSETS
MUN_93,SUL,BID_33644,2017,ASSETS
MUN_86,NOROESTE,BID_44922,2018,ASSETS
MUN_90,JAGUARIBE,BID_33468,2017,ASSETS
MUN_49,SUL,BID_41885,2018,ASSETS
MUN_110,NOROESTE,BID_35037,2018,ASSETS
MUN_149,NOROESTE,BID_55784,2019,ASSETS
MUN_28,NORTE,BID_16012,2016,ASSETS
MUN_76,SERTAO,BID_53872,2019,ASSETS
MUN_146,SERTAO,BID_13139,2016,ASSETS
MUN_99,METROPOLITANA,BID_55339,2019,ASSETS
MUN_78,NOROESTE,BID_19416,2016,ASSETS
MUN_185,NOROESTE,BID_40095,2018,ASSETS
MUN_152,SUL,BID_13568,2016,ASSETS
MUN_57,METROPOLITANA,BID_121826,2018,ASSETS
MUN_129,NORTE,BID_36306,2018,ASSETS
MUN_57,METROPOLITANA,BID_69063,2016,ASSETS
MUN_64,METROPOLITANA,BID_31170,2017,ASSETS
MUN_156,NOROESTE,BID_25040,2017,ASSETS
MUN_61,NOROESTE,BID_66575,2018,ASSETS
MUN_57,METROPOLITANA,BID_103473,2016,ASSETS
MUN_16,SUL,BID_101704,2019,ASSETS
MUN_17,NORTE,BID_26074,2017,ASSETS
MUN_81,NOROESTE,BID_54228,2019,ASSETS
MUN_52,SERTAO,BID_30078,2017,ASSETS
MUN_68,METROPOLITANA,BID_53428,2019,ASSETS
MUN_121,CENTRO SUL,BID_96270,2016,ASSETS
MUN_80,JAGUARIBE,BID_19491,2016,ASSETS
MUN_80,JAGUARIBE,BID_54093,2019,ASSETS
MUN_99,METROPOLITANA,BID_20684,2016,ASSETS
MUN_49,SUL,BID_107667,2017,ASSETS
MUN_4,NOROESTE,BID_41218,2018,ASSETS
MUN_122,METROPOLITANA,BID_35862,2018,ASSETS
MUN_153,NOROESTE,BID_24861,2017,ASSETS
MUN_79,NOROESTE,BID_32462,2017,ASSETS
MUN_43,METROPOLITANA,BID_29187,2017,ASSETS
MUN_51,NOROESTE,BID_52299,2019,ASSETS
MUN_132,SERTAO,BID_12550,2016,ASSETS
MUN_19,SUL,BID_27350,2017,ASSETS
MUN_40,NOROESTE,BID_41325,2018,ASSETS
MUN_100,METROPOLITANA,BID_34508,2018,ASSETS
MUN_115,NOROESTE,BID_21767,2017,ASSETS
MUN_118,SERTAO,BID_46872,2019,ASSETS
MUN_28,NORTE,BID_27954,2017,ASSETS
MUN_147,JAGUARIBE,BID_13220,2016,ASSETS
MUN_147,JAGUARIBE,BID_48502,2019,ASSETS
MUN_91,JAGUARIBE,BID_33491,2017,ASSETS
MUN_91,JAGUARIBE,BID_45293,2018,ASSETS
MUN_4,NOROESTE,BID_16653,2016,ASSETS
MUN_48,SERTAO,BID_41844,2018,ASSETS
MUN_143,SERTAO,BID_100933,2019,ASSETS
MUN_171,NORTE,BID_111199,2018,ASSETS
MUN_49,SUL,BID_109193,2019,ASSETS
MUN_128,NORTE,BID_22815,2017,ASSETS
MUN_82,JAGUARIBE,BID_44604,2018,ASSETS
MUN_120,NORTE,BID_35716,2018,ASSETS
MUN_45,NOROESTE,BID_29412,2017,ASSETS
MUN_150,JAGUARIBE,BID_24677,2017,ASSETS
MUN_51,NOROESTE,BID_42188,2018,ASSETS
MUN_118,SERTAO,BID_11789,2016,ASSETS
MUN_57,METROPOLITANA,BID_62924,2019,ASSETS
MUN_29,NOROESTE,BID_70598,2016,ASSETS
MUN_124,NORTE,BID_35964,2018,ASSETS
MUN_157,NORTE,BID_38261,2018,ASSETS
MUN_157,NORTE,BID_13799,2016,ASSETS
MUN_118,SERTAO,BID_46912,2019,ASSETS
MUN_111,SERTAO,BID_21561,2017,ASSETS
MUN_94,SUL,BID_56872,2018,ASSETS
MUN_79,NOROESTE,BID_96703,2017,ASSETS
MUN_4,NOROESTE,BID_41220,2018,ASSETS
MUN_158,JAGUARIBE,BID_25239,2017,ASSETS
MUN_15,NORTE,BID_37716,2018,ASSETS
MUN_71,JAGUARIBE,BID_114004,2017,ASSETS
MUN_83,NORTE,BID_32765,2017,ASSETS
MUN_158,JAGUARIBE,BID_25210,2017,ASSETS
MUN_68,METROPOLITANA,BID_18749,2016,ASSETS
MUN_71,JAGUARIBE,BID_109120,2017,ASSETS
MUN_61,NOROESTE,BID_56564,2016,ASSETS
MUN_37,NOROESTE,BID_103533,2019,ASSETS
MUN_157,NORTE,BID_13875,2016,ASSETS
MUN_118,SERTAO,BID_100762,2018,ASSETS
MUN_171,NORTE,BID_39307,2018,ASSETS
MUN_90,JAGUARIBE,BID_54754,2019,ASSETS
MUN_13,METROPOLITANA,BID_103385,2019,ASSETS
MUN_149,NOROESTE,BID_37678,2018,ASSETS
MUN_66,NORTE,BID_43451,2018,ASSETS
MUN_172,NOROESTE,BID_49973,2019,ASSETS
MUN_54,METROPOLITANA,BID_108619,2016,ASSETS
MUN_55,SUL,BID_52549,2019,ASSETS
MUN_125,NOROESTE,BID_100511,2019,ASSETS
MUN_118,SERTAO,BID_46911,2019,ASSETS
